city,count,latitude,longitude
El Fashir,12,13.624196,25.344978
Tharthar,12,33.683265999999996,43.473259000000006
Jos,12,9.933421000000001,8.88309
Rangae district,12,6.296389,101.72833299999999
Caracas,12,10.482834,-66.962128
El Wak,12,2.626452,41.423798
Chermalyk,12,47.313381,37.805458
Uludere district,12,37.429183,42.883131
Wana,12,32.306098999999996,69.57995600000001
Rasheed,12,33.117836,44.369362
Falahat,12,33.340336,43.659054
San Jose,12,7.706295,126.106131
Qatif,12,26.554785,50.004523999999996
Khar,12,34.61391,71.92900999999999
Wata Pur district,12,34.910931,71.127398
Kabacan,12,7.10677,124.82583799999999
Lawdar,12,13.887402999999999,45.863647
Imam Sahib district,12,37.188163,68.905252
Ghani Khel,12,34.195751,70.786385
Rusa Milae,12,6.8739539999999995,101.234711
Yaha district,12,6.478333,101.135
Cape Town,12,-33.981557,18.567629999999998
Almar district,12,35.848126,64.24248
Kohlu,12,29.896093,69.250237
Garissa,12,-0.45354399999999995,39.646028
Muang Yala district,12,6.541138,101.280396
Warri,12,5.52372,5.7531669999999995
Qush Tepa district,12,36.160669,65.447851
Zintan,12,31.927389,12.251627000000001
Shibirghan,12,36.674671000000004,65.748405
Muxungue,12,-20.57698,33.835765
Narayanpur district,12,19.736855,81.215251
Bashiqah,12,36.433690999999996,43.275079999999996
Nawa-i-Barakzayi district,12,31.477245,64.28984
Beytussebap district,12,37.662446,43.10823
Darzab district,11,35.996459,65.35199399999999
Maruf district,11,31.594154999999997,66.942812
Kathmandu,11,27.708754,85.329498
Lviv,11,49.841775,24.031214000000002
Chamkani,11,34.005901,71.648872
Nasirabad district,11,28.937727000000002,68.198622
Maiorska,11,48.397492,37.975803000000006
Fuah,11,35.982760999999996,36.704646999999994
Sharana,11,33.1782,68.752533
Pusht Rod district,11,32.453618,62.077378
Marawara district,11,34.928284000000005,71.275542
Radaa,11,14.413989,44.837418
Yuksekova district,11,37.56477,44.296321999999996
Radwaniyah,11,33.192356,44.001503
Bijbehara,11,33.789497,75.103386
Benina,11,32.094952,20.268871
Shopian district,11,33.735763,74.837897
Moscow,11,55.751377000000005,37.579914
Sungai Kolok district,11,6.029237,101.924798
Hranitne,11,47.460209000000006,37.86647
Chamarkand,11,34.683281,71.21629300000001
Deh Rahwod district,11,32.645037,65.47766800000001
Pasemat,11,6.038708,101.983711
Diwaniyah,11,31.98958,44.923775
Labweh,11,34.196331,36.357601
Salarzai,11,34.786421999999995,71.58451099999999
Krasnohorivka,11,48.020912,37.529469
Mora,11,11.046735,14.140454
Pashtun Kot district,11,35.598206,64.76365899999999
Labraq,11,32.788338,21.967283
Faisalabad,11,31.410724,73.108405
Zinjibar,11,13.129726000000002,45.385571
Artemivsk,11,48.596962,37.998298999999996
Kajaki district,11,32.311454,65.079174
San Antonio,11,17.408355,120.476747
Tanta,11,30.787678000000003,30.999529
Qalay-i-Zal district,11,37.0,68.416667
Pachir Agam district,11,34.183493,70.320432
Sidra,11,30.757109999999997,18.195798999999997
Juba,11,4.8553489999999995,31.567781
Zaranj,11,30.959932000000002,61.86895
San Juan,11,13.058242,124.015178
Wajir,11,1.746832,40.053447999999996
Khanasah,11,33.043201,44.641945
Haswah,11,32.880179999999996,44.386963
Shillong,11,25.578530999999998,91.893254
Makhachkala,11,42.98542,47.450668
Zafaraniyah,11,33.227039000000005,44.527786
Buhriz,11,33.716995000000004,44.679516
Miran Shah,11,33.006516,70.068253
Mashkai,11,26.949394,65.492241
Nowshera,10,34.007206,71.983078
Moreh,10,24.35172,94.34217
Wajihiyah,10,33.879803,44.854084
Bagram district,10,34.929139,69.342038
London,10,51.504387,-0.140041
Lattakia,10,35.528403999999995,35.792320000000004
Qalandiyah,10,31.861471,35.208427
Rashad,10,35.114309999999996,44.222439
Mirik,10,26.885559000000004,88.187687
Charikar,10,35.018158,69.168991
Injil district,10,34.468208000000004,62.185609
Khuzdar district,10,27.508215000000003,66.42715
Madagali,10,10.890928,13.627589000000002
Khas Uruzgan district,10,32.929848,66.68909599999999
Charsadda district,10,34.216456,71.714795
Awaran district,10,26.458388,65.230796
Sejar,10,33.395309999999995,43.845825
Chora district,10,32.846406,66.04986099999999
Arbil,10,36.192589,44.004622999999995
Kurseong,10,26.882837,88.279816
